sektor,ticker,ticker_yfinance,window_id,period,indicator,signal_column,in_sample_start,in_sample_end,out_sample_start,out_sample_end,total_active_signals,correct_signals,directional_accuracy,hit_rate
Energi,CUAN,CUAN.JK,4,out_sample,MA Crossover,MA_Crossover_Signal,2025-07-21,2026-01-20,2026-01-21,2026-04-21,0,0,0.0,0.0
Energi,CUAN,CUAN.JK,4,out_sample,MACD,MACD_Trade_Signal,2025-07-21,2026-01-20,2026-01-21,2026-04-21,3,3,100.0,100.0
Energi,CUAN,CUAN.JK,4,out_sample,RSI,RSI_Signal,2025-07-21,2026-01-20,2026-01-21,2026-04-21,6,2,33.33333333333333,33.33333333333333
Energi,DSSA,DSSA.JK,1,in_sample,MA Crossover,MA_Crossover_Signal,2024-10-21,2025-04-20,2025-04-21,2025-07-21,4,4,100.0,100.0
Energi,DSSA,DSSA.JK,1,in_sample,MACD,MACD_Trade_Signal,2024-10-21,2025-04-20,2025-04-21,2025-07-21,6,4,66.66666666666666,66.66666666666666
Energi,DSSA,DSSA.JK,1,in_sample,RSI,RSI_Signal,2024-10-21,2025-04-20,2025-04-21,2025-07-21,3,2,66.66666666666666,66.66666666666666
Energi,DSSA,DSSA.JK,1,out_sample,MA Crossover,MA_Crossover_Signal,2024-10-21,2025-04-20,2025-04-21,2025-07-21,0,0,0.0,0.0
Energi,DSSA,DSSA.JK,1,out_sample,MACD,MACD_Trade_Signal,2024-10-21,2025-04-20,2025-04-21,2025-07-21,3,2,66.66666666666666,66.66666666666666
Energi,DSSA,DSSA.JK,1,out_sample,RSI,RSI_Signal,2024-10-21,2025-04-20,2025-04-21,2025-07-21,2,1,50.0,50.0
Energi,DSSA,DSSA.JK,2,in_sample,MA Crossover,MA_Crossover_Signal,2025-01-21,2025-07-20,2025-07-21,2025-10-21,3,3,100.0,100.0
Energi,DSSA,DSSA.JK,2,in_sample,MACD,MACD_Trade_Signal,2025-01-21,2025-07-20,2025-07-21,2025-10-21,5,4,80.0,80.0
Energi,DSSA,DSSA.JK,2,in_sample,RSI,RSI_Signal,2025-01-21,2025-07-20,2025-07-21,2025-10-21,3,2,66.66666666666666,66.66666666666666
Energi,DSSA,DSSA.JK,2,out_sample,MA Crossover,MA_Crossover_Signal,2025-01-21,2025-07-20,2025-07-21,2025-10-21,0,0,0.0,0.0
Energi,DSSA,DSSA.JK,2,out_sample,MACD,MACD_Trade_Signal,2025-01-21,2025-07-20,2025-07-21,2025-10-21,7,3,42.857142857142854,42.857142857142854
Energi,DSSA,DSSA.JK,2,out_sample,RSI,RSI_Signal,2025-01-21,2025-07-20,2025-07-21,2025-10-21,3,0,0.0,0.0
Energi,DSSA,DSSA.JK,3,in_sample,MA Crossover,MA_Crossover_Signal,2025-04-21,2025-10-20,2025-10-21,2026-01-21,0,0,0.0,0.0
Energi,DSSA,DSSA.JK,3,in_sample,MACD,MACD_Trade_Signal,2025-04-21,2025-10-20,2025-10-21,2026-01-21,11,6,54.54545454545454,54.54545454545454
Energi,DSSA,DSSA.JK,3,in_sample,RSI,RSI_Signal,2025-04-21,2025-10-20,2025-10-21,2026-01-21,5,1,20.0,20.0
Energi,DSSA,DSSA.JK,3,out_sample,MA Crossover,MA_Crossover_Signal,2025-04-21,2025-10-20,2025-10-21,2026-01-21,2,1,50.0,50.0
Energi,DSSA,DSSA.JK,3,out_sample,MACD,MACD_Trade_Signal,2025-04-21,2025-10-20,2025-10-21,2026-01-21,4,2,50.0,50.0
Energi,DSSA,DSSA.JK,3,out_sample,RSI,RSI_Signal,2025-04-21,2025-10-20,2025-10-21,2026-01-21,0,0,0.0,0.0
Energi,DSSA,DSSA.JK,4,in_sample,MA Crossover,MA_Crossover_Signal,2025-07-21,2026-01-20,2026-01-21,2026-04-21,2,1,50.0,50.0
Energi,DSSA,DSSA.JK,4,in_sample,MACD,MACD_Trade_Signal,2025-07-21,2026-01-20,2026-01-21,2026-04-21,11,5,45.45454545454545,45.45454545454545
Energi,DSSA,DSSA.JK,4,in_sample,RSI,RSI_Signal,2025-07-21,2026-01-20,2026-01-21,2026-04-21,5,0,0.0,0.0
Energi,DSSA,DSSA.JK,4,out_sample,MA Crossover,MA_Crossover_Signal,2025-07-21,2026-01-20,2026-01-21,2026-04-21,1,1,100.0,100.0
